FID,bh_id_sadc,bh_id,bh_type,country,longitude,latitude,geod_datum,elev_m_dem,elevation,bh_depth,compl_date,swl_m,swl_date,yield_l_s,yieldtype,ec_ms_m,tds_mg_l,f_mg_l,no3_mg_l,lith,reliabilit,bh_status,hgm_litho,hgm_aqtype,hgm_produc,dataowner,contact_person,email,file_name,province,wgs84
gip_BHdata_botswana.fid-1ee0d787_16779633175_421e,543690,BH4704,unknown,Botswana,25.68889,-24.94278,WGS84,1084,-9999,210.0,1985-02-13,-9999.0,1985-04-19,1.5,blow,45.3,290.0,4.6,0.9,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4239,542420,BH2246,unknown,Botswana,25.71806,-25.20722,WGS84,1174,-9999,45.7,1969-03-09,-9999.0,1993-11-08,-9999.0,blow,131.7,780.0,0.8,0.3,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_423f,545345,BH7523,unknown,Botswana,25.64583,-24.956,WGS84,1085,-9999,192.0,1994-01-24,-9999.0,2008-02-05,-9999.0,blow,40.0,-9999.0,0.4,-9999.0,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4240,542250,BH2005,unknown,Botswana,25.71778,-25.1025,WGS84,1138,-9999,74.4,1966-12-20,-9999.0,1990-01-01,3.4,blow,-9999.0,224.0,1.0,-9999.0,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_425a,543318,BH4047,unknown,Botswana,25.70833,-25.09611,WGS84,1115,-9999,57.9,1978-09-10,26.0,1990-01-01,-9999.0,blow,59.2,336.0,1.7,-9999.0,unknown,unknown,unknown,"Volcanic rocks, extrusive",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_426c,542961,BH3378,unknown,Botswana,25.59139,-24.99722,WGS84,1125,-9999,131.3,1978-08-08,118.0,2000-08-01,-9999.0,blow,63.8,314.0,4.3,18.2,unknown,unknown,unknown,"Volcanic rocks, extrusive",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_429f,547349,Z6041,unknown,Botswana,25.70694,-25.09083,WGS84,1116,-9999,150.0,1988-09-10,-9999.0,1989-03-08,-9999.0,blow,69.7,396.0,0.3,0.6,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_42ab,543673,BH467,unknown,Botswana,25.67861,-25.21667,WGS84,1211,-9999,34.4,1966-06-23,33.8,1990-01-01,-9999.0,blow,37.5,228.0,1.0,-9999.0,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_42b0,546852,Z3313,unknown,Botswana,25.65667,-25.15806,WGS84,1242,-9999,76.9,1983-05-09,-9999.0,1983-05-08,1.9,blow,12.0,84.0,0.1,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_42c0,543885,BH5019,unknown,Botswana,25.7075,-25.12889,WGS84,1147,-9999,65.0,1985-06-11,-9999.0,1995-03-23,-9999.0,blow,101.3,598.0,0.3,3.2,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_42c7,543767,BH4856,unknown,Botswana,25.68889,-24.94639,WGS84,1075,-9999,63.0,1984-02-19,-9999.0,1990-01-01,-9999.0,blow,45.0,262.0,0.8,0.9,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4311,542613,BH2623,unknown,Botswana,25.55778,-25.36694,WGS84,1290,-9999,45.7,1974-05-01,29.3,1990-01-01,4.1,blow,155.0,760.0,0.2,126.4,unknown,unknown,unknown,"Volcanic rocks, extrusive",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4331,547155,Z4829,unknown,Botswana,25.67778,-25.22639,WGS84,1185,-9999,167.0,1983-12-20,167.0,1988-08-28,3.1,blow,27.1,158.0,1.1,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_433b,543471,BH4338,unknown,Botswana,25.87861,-24.8575,WGS84,1020,1017,118.0,1983-08-09,3.0,2000-08-30,25.0,unknown,46.2,-9999.0,0.1,0.9,unknown,unknown,unknown,Dolomite and limestone,Karst,"Karst aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4346,542444,BH2278,unknown,Botswana,25.67444,-25.21667,WGS84,1207,-9999,61.0,1969-12-22,36.0,1990-01-01,17.0,blow,28.0,192.0,0.1,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4348,547110,Z4633,unknown,Botswana,25.70806,-25.12056,WGS84,1142,-9999,63.9,1983-06-01,-9999.0,1989-12-13,-9999.0,blow,70.1,400.0,0.1,1.2,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4349,546871,Z3470,unknown,Botswana,25.745,-25.04,WGS84,1104,-9999,30.0,1945-01-01,25.0,1980-06-17,3.8,blow,83.0,424.0,0.2,47.0,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4356,542426,BH2254,unknown,Botswana,25.72889,-25.16944,WGS84,1184,-9999,-9999.0,1969-11-14,-9999.0,1990-01-01,5.7,blow,24.0,188.0,1.0,-9999.0,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4366,543377,BH4164,unknown,Botswana,25.875,-24.85639,WGS84,1025,1024,100.0,1980-09-26,4.3,1999-02-01,-9999.0,blow,100.3,612.0,0.4,4.4,unknown,unknown,unknown,Dolomite and limestone,Karst,"Karst aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4373,543479,BH4347,unknown,Botswana,25.87222,-24.90639,WGS84,1031,1026,120.0,1983-07-30,75.0,1999-02-01,150.0,blow,57.7,319.0,0.2,0.5,unknown,unknown,unknown,Dolomite and limestone,Karst,"Karst aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4392,543379,BH4166,unknown,Botswana,25.87306,-24.84472,WGS84,1027,1025,100.0,1980-10-11,6.7,,1.0,unknown,45.0,-9999.0,0.2,0.5,ramotswa dolomite,unknown,unknown,Dolomite and limestone,Karst,"Karst aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4395,541907,BH1331,unknown,Botswana,25.73,-25.17444,WGS84,1171,-9999,132.0,1961-07-12,45.7,1987-12-19,15.9,blow,148.0,940.0,0.3,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4398,543555,BH4461,unknown,Botswana,25.71,-25.24611,WGS84,1206,-9999,120.0,1983-10-18,84.0,1983-12-15,15.0,blow,69.5,445.0,-9999.0,2.7,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_43d0,546074,BH9145,unknown,Botswana,25.6425,-24.9616,WGS84,1079,-9999,106.0,1999-11-16,64.0,2000-03-28,1.1,blow,37.8,218.0,1.8,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_43d7,544320,BH5721,unknown,Botswana,25.71472,-24.95028,WGS84,1064,-9999,118.0,1987-09-05,78.9,1987-09-04,6.0,blow,61.8,320.0,5.0,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_43ea,545999,BH9034,unknown,Botswana,25.546,-24.92805,WGS84,1151,-9999,105.0,1999-07-23,92.0,2004-05-13,-9999.0,blow,40.0,208.0,0.3,19.5,unknown,unknown,unknown,"Volcanic rocks, extrusive",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_43ef,542361,BH2151,unknown,Botswana,25.74389,-25.04472,WGS84,1106,-9999,93.3,1968-05-27,24.4,1991-06-04,4.5,blow,78.2,534.0,0.3,1.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_43f1,544454,BH5972,unknown,Botswana,25.55,-25.35,WGS84,1290,-9999,201.0,1988-06-23,148.0,1990-11-30,0.6,blow,59.5,399.0,0.4,29.8,unknown,unknown,unknown,"Volcanic rocks, extrusive",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_43f5,542061,BH161,unknown,Botswana,25.5,-25.25,WGS84,1291,-9999,92.0,1940-08-08,73.2,1990-01-01,0.9,blow,100.0,544.0,0.6,81.3,unknown,unknown,unknown,"Granite, syenite,  gabbro, gneiss and migmatites",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_43f9,542073,BH1638,unknown,Botswana,25.73694,-25.185,WGS84,1157,-9999,177.7,1964-07-21,67.1,1990-11-26,0.8,blow,114.0,775.0,1.6,85.2,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4406,543783,BH4886,unknown,Botswana,25.87333,-24.83944,WGS84,1025,1051,150.0,1985-02-02,62.0,1985-08-07,12.0,blow,114.4,792.0,0.7,28.0,unknown,unknown,unknown,Dolomite and limestone,Karst,"Karst aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4410,543490,BH4367,unknown,Botswana,25.7675,-25.03694,WGS84,1081,-9999,150.0,1983-07-15,44.0,1987-05-31,-9999.0,blow,238.8,1364.0,0.7,0.9,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4411,546656,Z1552,unknown,Botswana,25.66444,-25.23333,WGS84,1208,-9999,50.9,1967-12-20,97.0,1986-09-23,5.5,blow,36.5,200.0,0.2,1.3,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4427,544818,BH6549,unknown,Botswana,25.74639,-25.21139,WGS84,1165,-9999,63.0,1990-04-23,48.0,1990-04-23,2.8,blow,27.0,160.0,0.2,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_445f,543348,BH4127,unknown,Botswana,25.72611,-25.11806,WGS84,1152,-9999,108.0,1980-09-16,27.9,1983-06-16,-9999.0,blow,99.0,560.0,0.2,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_446b,542033,BH1556,unknown,Botswana,25.67083,-25.19444,WGS84,1287,-9999,45.7,1963-10-17,-9999.0,1989-08-08,-9999.0,blow,8.6,66.0,0.1,3.0,unknown,unknown,unknown,"Volcanic rocks, extrusive",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_44ad,542076,BH1642,unknown,Botswana,25.69583,-24.98917,WGS84,1082,-9999,61.0,1964-08-17,27.4,1992-07-13,3.1,blow,36.5,192.0,0.5,7.0,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_44ba,546672,Z1663,unknown,Botswana,25.67722,-25.22111,WGS84,1194,-9999,39.7,,27.5,1990-01-01,4.5,blow,-9999.0,412.0,1.0,-9999.0,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_44c9,546301,BH9761,unknown,Botswana,25.474,-25.352,WGS84,1271,-9999,80.0,2002-07-31,29.0,2004-07-06,20.1,blow,83.0,478.0,0.2,6.3,unknown,unknown,unknown,"Granite, syenite,  gabbro, gneiss and migmatites",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_44d5,543866,BH4995,unknown,Botswana,25.87222,-24.83028,WGS84,1019,-9999,150.0,1985-03-11,24.0,1985-03-11,5.0,blow,81.5,450.0,0.2,8.3,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_44d6,542416,BH2242,unknown,Botswana,25.73389,-25.1775,WGS84,1182,-9999,147.8,1969-08-15,59.1,1990-01-01,0.8,blow,-9999.0,272.0,2.0,-9999.0,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_44da,544322,BH5723,unknown,Botswana,25.71472,-24.95028,WGS84,1064,-9999,162.0,1987-09-12,111.0,2000-05-17,5.0,blow,38.6,258.0,0.7,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_44e1,542448,BH2283,unknown,Botswana,25.67639,-25.20778,WGS84,1211,-9999,103.6,1970-01-30,32.0,1990-01-01,5.7,blow,-9999.0,244.0,1.0,-9999.0,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_44ec,543546,BH4450,unknown,Botswana,25.70889,-25.06139,WGS84,1128,-9999,162.0,1983-09-15,150.0,1989-03-13,3.0,blow,69.3,388.0,0.5,1.8,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_44f1,544853,BH66,unknown,Botswana,25.675,-25.20833,WGS84,1215,-9999,42.4,1936-06-13,-9999.0,1994-01-11,11.4,blow,655.4,5375.0,0.2,3.5,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4501,547071,Z4482,unknown,Botswana,25.71194,-25.09417,WGS84,1112,-9999,62.0,1981-01-02,12.8,1987-07-17,25.2,blow,73.9,432.0,0.1,1.4,unknown,unknown,unknown,"Volcanic rocks, extrusive",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4508,543369,BH4157,unknown,Botswana,25.82944,-24.88333,WGS84,1059,-9999,160.0,1980-09-11,45.0,1980-10-16,-9999.0,blow,46.0,234.0,0.6,0.4,unknown,unknown,unknown,Dolomite and limestone,Karst,"Karst aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_450a,543495,BH4372,unknown,Botswana,25.87861,-24.89917,WGS84,1029,-9999,96.0,1983-08-28,-9999.0,,-9999.0,unknown,46.9,-9999.0,-9999.0,-9999.0,unknown,unknown,unknown,Dolomite and limestone,Karst,"Karst aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
