"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","GeositeInfo_ReferenceDatum","GeositeInfo_CoordinateMethod","GeositeInfo_Elevation","GeositeInfo_FarmName","GeositeInfo_FarmNumber","GeositeInfo_Town","GeositeInfo_Portion","GeositeInfo_Village","GeositeInfo_GeositeStatus","GeositeInfo_DateWhenStatusWasObserved","GeositeInfo_MapNumber","GeositeInfo_Province","GeositeInfo_RegistrationDistrict","GeositeInfo_QuaternaryDrainageRegion","GeositeInfo_WaterManagementArea","GeositeInfo_MunicipalDistrictNew","GeositeInfo_HydrogeologicalRegion","GeositeInfo_WaterUserAssociation","GeositeInfo_Geomorphology","GeositeInfo_LandCover","GeositeInfo_TasteOfWater","GeositeInfo_IntendedGeositePurpose","GeositeInfo_ObservedActualWaterUses","GeositeInfo_WaterConsumer","GeositeInfo_SiteSelector"
"Dept Water - Pretoria","2525DA00096","Borehole","-25.56063","25.72209","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1380","KAREELAAGTE PTN. BOTSALANO GAME RESERVE","0045 ",,,,,"","2525DA","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
"Dept Water - Pretoria","2525DB00087","Borehole","-25.56031","25.94270","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1410","TWEEFONTEIN","0058 ",,,,,"","2525DB","North West","JO","A10A","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Stock Watering",,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1435","TWEEFONTEIN","0058 ",,,,"In Use: Unknown","1998-08-28","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Exploration, Monitoring",,,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1435","TWEEFONTEIN","0058 ",,,,"In Use: Unknown","2013-06-26","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Exploration, Monitoring",,,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1435","TWEEFONTEIN","0058 ",,,,"In Use: Unknown","2015-08-27","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Exploration, Monitoring",,,
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1220","KAMEELDOORN","0271 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1220","KAMEELDOORN","0271 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1220","KAMEELDOORN","0271 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1300","DE RUST","0273 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - Pretoria","2526CA00019","Borehole","-25.55894","26.02468","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1300","DE RUST","0273 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1220","KAMEELDOORN","0271 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - Pretoria","2526CA00108","Borehole","-25.55894","26.06635","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1220","KAMEELDOORN","0271 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1300","DE RUST","0273 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - Pretoria","2526CA00106","Borehole","-25.55893","26.06634","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1220","KAMEELDOORN","0271 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - Pretoria","2525DA00099","Borehole","-25.55864","25.70497","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1380","KAREELAAGTE PTN. BOTSALANO GAME RESERVE","0045 ",,,,,"","2525DA","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1446","Klippan","0044 ",,,,"In Use: Monitoring","2014-11-26","2525DB","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,"Fresh","Exploration, Monitoring",,,
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1446","Klippan","0044 ",,,,"In Use: Monitoring","2015-03-03","2525DB","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,"Fresh","Exploration, Monitoring",,,
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1446","Klippan","0044 ",,,,"In Use: Monitoring","2018-06-06","2525DB","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,"Fresh","Exploration, Monitoring",,,
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1446","Klippan","0044 ",,,,"Unused: Abandoned","2001-03-15","2525DB","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,"Fresh","Exploration, Monitoring",,,
"Dept Water - Pretoria","2526CA00497","Borehole","-25.55807","26.04041","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1224.6","MONTGOMERY'S HOOP","0272 ",,,,"Unused: Abandoned","1990-07-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,,,,,
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1415","STINKHOUTBOOM","0043 ",,,,"In Use: Unknown","1998-06-19","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,,"Exploration, Monitoring",,,
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1415","STINKHOUTBOOM","0043 ",,,,"Unused: Dry - Unknown","2010-11-25","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,,"Exploration, Monitoring",,,
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1415","STINKHOUTBOOM","0043 ",,,,"Unused: Dry - Unknown","2014-06-26","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,,"Exploration, Monitoring",,,
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1415","STINKHOUTBOOM","0043 ",,,,"Unused: Irrepairably Destroyed","2015-08-27","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,,"Exploration, Monitoring",,,
"Dept Water - Pretoria","2525DB00092","Borehole","-25.55781","25.94965","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1400","TWEEFONTEIN","0058 ",,,,"In Use: Unknown","1988-08-23","2525DB","North West","JO","A10A","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Stock Watering",,
"Dept Water - Pretoria","2525DA00105","Borehole","-25.55778","25.67054","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1320","KAFFERKRAAL PTN. BOTSALANO GAME RESERVE","0050 ",,,,,"","2525DA","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
"Dept Water - Pretoria","2525DA00101","Borehole","-25.55774","25.70506","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1380","KAREELAAGTE PTN. BOTSALANO GAME RESERVE","0045 ",,,,,"","2525DA","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
"Dept Water - Pretoria","2525DA00111","Borehole","-25.55726","25.72490","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1390","KAREELAAGTE PTN. BOTSALANO GAME RESERVE","0045 ",,,,,"","2525DA","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
"Dept Water - Pretoria","2526CA00505","Borehole","-25.55506","26.06178","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1207.6","KAMEELDOORN","0271 ",,,,"Unused: Abandoned","1990-07-05","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh",,,,
"Dept Water - Pretoria","2525DB00373","Borehole","-25.55503","25.75139","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1420","KLIPPAN PTN. BOTSALANO GAME RESERVE","0044 ",,,,,"","2525DB","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
"Dept Water - Pretoria","2526CA00500","Borehole","-25.55481","26.05688","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1210","KAMEELDOORN","0271 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Low Gradient Hill Slope",,"Fresh",,,,
"Dept Water - Pretoria","2526CA00504","Borehole","-25.55453","26.06606","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1207.42","KAMEELDOORN","0271 ",,,,"In Use: Unknown","1990-07-05","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Agriculture",,
"Dept Water - Pretoria","2526CA00503","Borehole","-25.55438","26.06359","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1206.97","KAMEELDOORN","0271 ",,,,"In Use: Unknown","1990-07-05","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Low Gradient Hill Slope",,"Fresh","Production (Water Supply)","Domestic",,
"Dept Water - Pretoria","2526CA00507","Dug Well","-25.55338","26.04883","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1210","KAMEELDOORN","0271 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Domestic",,
"Dept Water - Pretoria","2526CA00502","Borehole","-25.55256","26.05975","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1200","KAMEELDOORN","0271 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Agriculture",,
"Dept Water - Pretoria","2526CA00506","Borehole","-25.55249","26.06199","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1203.3","KAMEELDOORN","0271 ",,,,"In Use: Unknown","1990-07-05","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Domestic",,
"Dept Water - Pretoria","2526CA00501","Borehole","-25.55188","26.05973","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1202.55","KAMEELDOORN","0271 ",,,,"In Use: Unknown","1990-07-05","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Domestic",,
"Dept Water - Pretoria","2526CA00528","Borehole","-25.55176","26.03181","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1231.1","DE RUST","0273 ",,,,"In Use: Unknown","1990-07-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Agriculture",,
"Dept Water - Pretoria","2526CA00529","Borehole","-25.55151","26.03237","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1229.3","DE RUST","0273 ",,,,"In Use: Unknown","1990-07-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)",,,
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1420","TWEEFONTEIN","0058 ",,,,"In Use: Unknown","1977-01-21","2525DB","North West","JO","A31C",,"Zeerust Local Municipality",,,,,,"Monitoring",,,
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1420","TWEEFONTEIN","0058 ",,,,"Unknown: Inaccessible Geosite","2014-09-30","2525DB","North West","JO","A31C",,"Zeerust Local Municipality",,,,,,"Monitoring",,,
"Dept Water - Pretoria","2525DB00353","Borehole","-25.55087","25.86382","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1430","MOILWA PTN. KHUNOTSWANE","0901 ",,,,,"","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,,,,"Production (Water Supply)","Domestic",,
"Dept Water - Pretoria","2525DB00209","Borehole","-25.55077","25.76649","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1420","KLIPPAN","0044 ",,,,,"","2525DB","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
